type,context,query,answer
model-old-blk,六年擢四川按察使，以平允称,擢,提拔，被提拔
model-old-blk,数年来幸存者百无一二，今所任率迂儒俗吏,率,大都
model-old-cho,上书称旨，授监察御史,称,符合
model-old-cho,太素抗直不屈，屡濒于罪，帝时宥之,宥,宽恕
model-old-blk,邡与王章、史弘肇等有隙,隙,嫌怨
model-old-blk,朴性刚果，又见信于世宗，凡其所为，当时无敢难者,难,责难
model-old-cho,世宗锐意征伐，已挠群议,挠,阻止，阻挠
model-old-cho,朴性刚果，又见信于世宗，凡其所为，当时无敢难者，然人亦莫能加也,加,超过
model-old-blk,父老数百扶而道苦之，再拜问讯,再拜,拜两拜；作揖两次
model-old-blk,吾暍甚，具汤浴我！,具,准备
model-old-cho,两司起立谢曰：“某等教敕亡素，至有狂悖之员。,谢,道歉
model-old-cho,得官中牟，喜甚，恨不连夜排衙视事,视事,到职办公
model-old-blk,急麾骑军突阵，遂脱宗政。,麾,指挥，率领
model-old-blk,栋至夔州，使高达斩其首以徇，由是诸将禀令惟谨。,徇,示众
model-old-cho,丁父忧，制置使起复之，珙辞，讫葬趣就职，又辞。,趣,同“促”，催促
model-old-cho,珙下令应出戍主兵官，不许失弃寸土。权开州梁栋乏粮，请还司，珙曰：“是弃城也。”,权,代理
model-old-blk,竟弃去，放情丘壑间，被古冠服。,被,披、穿戴
model-old-blk,年愈五十，髭须皆黑，无华皓者。,华皓,花白的
model-old-cho,吾闻诸礼，医虽良技，不得与士齿，吾能安于医邪？,齿,同列，排列
model-old-cho,古之幽人狷士，凡欲寄其高情远韵者，莫不餐菊而纫兰。,纫,佩戴
model-old-blk,垂曰：“彼悉心投命，若何害之。”乃以兵属坚。,属,隶属、归属，使归属
model-old-blk,恐冠军之号，不饱其志，列地百里，未满其心。,饱,使满足
model-old-cho,王师不利，北境之民，或因此轻重，请奉诏辑宁朔裔。,辑,聚集
model-old-cho,苻坚败于淮南，垂军独全，坚以千余骑奔之。……坚曰：“卿言是也，但朕已许之。匹夫犹重信，况万乘之主乎。”翼曰：“陛下重小信而轻忽社稷，臣见往不见其还，关东之变，垂其首乎。”后果如其言。,首,开始
model-old-blk,以治最征授御史，疏陈四事，略言,疏,上疏、上奏章；或分条陈述
model-old-blk,明年拜南京刑部右侍郎。居二年，暴疾卒。,居,经过，过了；或停、停留
model-old-cho,身衣赭服，残破礼法，肆为淫邪。,肆,恣纵
model-old-cho,甚至投刺于人，自称皇庶子。,刺,名帖
model-old-blk,是时廖学士雅自负博而辨，又贵倨也，所引说经史连拄诸生口,倨,傲慢
model-old-blk,顺甫为人温温长者，而性特介，于取予辨毫发不苟。,介,耿直
model-old-cho,顺甫性高简，无所过从，所过从必于鳞。,过从,交往，往来
model-old-cho,顺甫曰：“于鳞之善先生，天下莫不闻……”谢生谮乃败。,谮,诬陷
model-old-blk,会阅禁中文书，有穆宗所封一箧，发之,发,打开
model-old-blk,上乃嗟叹，悉焚人所上谮绅书。,谮,诬陷
model-old-cho,陛下所以为储贰，臣备知之，皆逢吉之力也。,备,完全
model-old-cho,独翰林侍读学士韦处厚上疏，指述：“绅为逢吉之党所谗……”于是上稍开寤。,开寤,醒悟
model-old-trn,安石议论高奇，能以辩博济其说,高,高深
model-old-trn,安石议论高奇，能以辩博济其说,济其说,自圆其说
model-old-oth,安石性强忮，遇事无可否，自信所见，执意不回。,强忮,固执
model-old-oth,罢黜中外老成人几尽，多用门下儇慧少年。,儇慧,浮浅聪慧而狡猾
model-old-trn,先生疏谏切激，下廷杖也。,切,恳切
model-old-trn,先生疏谏切激，下廷杖也。以辅臣赵志皋救免，一时直声震天下。,直,刚直
model-old-oth,先生讳从吾，字仲好,讳,避讳；尊长之名
model-old-oth,亲上死长之义非讲奚明？,亲,尊重、爱戴
model-old-trn,会景仁当草制，坐失于考按，不合故事,当,担任
model-old-trn,会景仁当草制，坐失于考按，不合故事,考按,考核审查
model-old-oth,为人和易修敕,修敕,谨慎守礼
model-old-oth,景仁不顾，力为辨其不然，深救当时之弊，识者韪之。,韪,认为……对
model-old-trn,刺史无德可以导人，尚令百姓系于囹圄，岂有禁人在狱而心自安乎？,导,引导
model-old-trn,刺史无德可以导人，尚令百姓系于囹圄，岂有禁人在狱而心自安乎？,系,关押，被关押
model-old-oth,每月集御前令与大儒讲论，数被嗟异，时辈慕之。,嗟,赞叹
model-old-oth,后有欲诤讼者，其乡闾父老遽相晓曰：“此盖小事，何忍勤劳使君。”,诤讼,打官司
model-old-trn,乃说会曰：“闻君自淮南已来，算无遗策，晋道克昌，皆君之力。今复定蜀，威德振世，民高其功，主畏其谋，欲以此安归乎！何不法陶朱公泛舟绝迹，全功保身邪！”,安,安然无事地，安全地
model-old-trn,今复定蜀，威德振世，民高其功，主畏其谋,高,称赞
model-old-oth,大夫种不从范蠡于五湖，卒伏剑而妄死，彼岂暗主愚臣哉？,暗,昏昧
model-old-oth,维进不能奋节绵竹之下，退不能总帅五将，拥卫蜀主,奋节,以英勇壮烈的行为表现其节操
model-old-trn,富民不胜榜楚，自诬服。,楚,拷打
model-old-trn,或为元谋，或从而加功，罪皆应死。,元谋,主犯，主谋
model-old-oth,钱若水为同州推官，知州某性褊急，数以胸臆决事，不当。,褊,心胸狭隘
model-old-oth,若水一旦诣州，屏人言曰：“若水所以留其狱者，密使人访求女奴，今得之矣。”,屏,使退避
model-old-trn,且公为大将，而阃外之事不得专，顾副将乃得专之,阃外,朝廷外，指军中
model-old-trn,且公为大将，而阃外之事不得专，顾副将乃得专之,顾,反而
model-old-oth,悉下吏，当死，贷为民。,贷,宽恕
model-old-oth,苏定方于国有功，例合褒赠，卿等不言，遂使哀荣未及,合,应该
model-old-trn,子学已博，然寡要。,要,要领
model-old-trn,夫经所以载道，而言所以明道，何以多为！,明,彰明
model-old-oth,子莫而归，因不复事邻里，莫详其趋步。,趋步,行踪
model-old-oth,尝举进士，免贡，避地州西山中。,免贡,没有考中
model-old-trn,不畀以兵柄，令于三关听用，欲因以陷之。,畀,给予
model-old-trn,不畀以兵柄，令于三关听用，欲因以陷之。,三关,边关地区
model-old-oth,而巡抚史道、总兵官王陛等备御无素。,素,平时准备
model-old-oth,且巡抚岁终例有册，第属吏贤否，今皆寝阁，乞申饬其欺玩者。,饬,整治
model-old-oth,又请停内降，抑侥幸,内降,皇帝直接任官
model-old-oth,异时郡县督赋调繁急,异时,过去
model-old-oth,愿委计辅臣，听其注措。,注措,处置
model-old-oth,公所为诚善，万一蹉跌，岂惟身不自保，恐家无处所。,蹉跌,失误
model-old-oth,保皋以齿，年以艺，常龃龉不相下。,龃龉,意见不合，互不相让
model-old-oth,保皋既贵于其国，年错寞去职，饥寒在泗之涟水县。,错寞,穷困潦倒，不得志
model-old-oth,虽同盘饮食，常睇相视，不交一言。,交,说，交流
model-old-oth,苟有仁义之心，不资以明，虽召公尚尔，况其下哉。,明,明智的头脑
model-new-blk,每得降卒，必亲引问委曲，由是贼中险易远近虚实尽知之。,易,地势平坦
model-new-blk,军出，不知所之。愬曰：“但东行。”,但,只管，尽管
model-new-cho,每得降卒，必亲引问委曲，由是贼中险易远近虚实尽知之。,委曲,底细原委
model-new-cho,近城有鹅鸭池，愬令击之以混军声。,混,混淆
model-new-trn,守门卒方熟寐，尽杀之，而留击柝者，使击柝如故。,方,正在
model-new-blk,山东按察使焦遂闻之，荐为东平学正。游京师，献书于平章不忽木，大奇之，辟为礼部令史，乃荐入御史台。,辟,征召
model-new-blk,拜住袖其疏入谏，其略曰：“世祖临御三十余年……”,袖,藏在袖子里
model-new-cho,众盗感泣，互相戒曰：“毋负张公。”,负,辜负
model-new-cho,止宿公署，夜则祷于天，昼则出赈饥民，终日无少怠。,怠,松懈
model-new-trn,既加之以刑，犹以盗目之，是绝其自新之路也。,目,看待
model-new-trn,既加之以刑，犹以盗目之，是绝其自新之路也。,绝,断绝
model-new-blk,陵叩头自请曰：‘臣所将屯边者，皆荆楚勇士奇材剑客也。愿得自当一队，到兰干山南以分单于兵，毋令专乡贰师军。臣愿以少击众，步兵五千人涉单于庭。’上壮而许之。,壮,认为……豪壮
model-new-blk,迁盛言：‘陵事亲孝，与士信，常奋不顾身以徇国家之急，其素所畜积也，有国士之风。’,素,平时
model-new-cho,上以问太史令司马迁，迁盛言：‘陵事亲孝，与士信，常奋不顾身以徇国家之急，其素所畜积也，有国士之风。且陵提步卒不满五千，深蹂戎马之地，抑数万之师。’,盛言,极力申述
model-new-cho,彼之不死，然其所摧败亦足暴于天下。宜欲得当以报汉也。,得当,妥当合适
model-new-trn,臣愿得自当一队，到兰干山南以分单于兵，毋令专乡贰师军。臣愿以少击众，步兵五千人涉单于庭。,涉,深入
model-new-blk,买田荐峰下，构草舍，杂山旷以耕。,构,建造
model-new-blk,每议公事，不挠于权贵。,挠,屈服
model-new-cho,山人少豪举，好声色狗马，年三十，始折节读书。,折节,改变志趣
model-new-cho,荐青之诗，不丐于古，而必求与之并。,并,齐平
model-new-trn,日典衣节食，以养戚属之穷孤。又以所著书稿未定，矻矻不自休。,典,典当
model-new-trn,日典衣节食，以养戚属之穷孤。又以所著书稿未定，矻矻不自休。,穷孤,贫穷孤苦之人
model-new-trn,日典衣节食，以养戚属之穷孤。又以所著书稿未定，矻矻不自休。,矻矻,勤勉不懈的样子
model-new-blk,尚气节，读书务明理以致用，不苟事言说。,务,致力于
model-new-blk,艮取吏牍披阅，即除其粮五万二千八百石、钞二百五十万缗，运户乃免于破家。,牍,卷宗
model-new-cho,且浙右之郡，商贾辐辏，未尝以口计也。,辐辏,聚集
model-new-cho,行省数遣官按问，吏已伏其虚诳，而有司喜功生事者，复勒其民报合征粮六百余石，宪司援诏条革去，终莫能止。,按问,查究审问
model-new-trn,沮之者以为有成籍不可改，艮毅然曰：“民实寡而强赋多民之钱，今死、徙已众矣，顾重改成籍而轻弃民命乎！”,沮,阻挠
model-new-trn,沮之者以为有成籍不可改，艮毅然曰：“民实寡而强赋多民之钱，今死、徙已众矣，顾重改成籍而轻弃民命乎！”,强赋,强行征收
model-new-trn,沮之者以为有成籍不可改，艮毅然曰：“民实寡而强赋多民之钱，今死、徙已众矣，顾重改成籍而轻弃民命乎！”,顾……乎,难道……吗
model-new-blk,比长，遂大肆力于经传。闻许谦讲道八华山中，乃执经从之。,传,解释经典的著作
model-new-blk,时胡元入主中国，德原薄其时，叹曰：“世道如此，虽欲有为，其可得乎？”,薄,看不起，嫌弃
model-new-cho,遂淹贯经史暨诸子百家之言，靡不及其蕴奥。口口古今治乱得失之机、伟人杰士周谋异绩、行兵用师决机制胜之要，历历布在胸臆。善于指陈，是是而非非，使听者心目为之廓然。及其乘豪摅兴，援笔为诗文，顷刻千百言，不自休，率新丽雄赡，可喜可愕。博考洽闻，,洽,丰富，广博
